"Abcacc_now_delinq","#acc_open_past_24mths","Abcaddr_state","#all_util","#annual_inc","Abcannual_inc_joint","#application_type","#avg_cur_bal","#bc_open_to_buy","#.#bc_util","#.#chargeoff_within_12_mths","#.#collection_recovery_fee","#.#collections_12_mths_ex_med","Abccredit_rating","Abcdebt_settlement_flag","Abcdebt_settlement_flag_date","Abcdeferral_term","#delinq_2yrs","#delinq_amnt","Abcdesc","Abcdisbursement_method","#.#dti","#.#dti_joint","Abcearliest_cr_line","Abcemp_length","Abcemp_title","#funded_amnt","#funded_amnt_inv","Abcgrade","Abchardship_amount","Abchardship_dpd","Abchardship_end_date","Abchardship_flag","Abchardship_last_payment_amount","Abchardship_length","Abchardship_loan_status","Abchardship_payoff_balance_amount","#hardship_reason","Abchardship_start_date","Abchardship_status","Abchardship_type","Abchome_ownership","#il_util","#initial_list_status","#inq_fi","#inq_last_12m","#inq_last_6mths","#.#installment","#.#int_rate","Abcissue_d","Abclast_credit_pull_d","#last_pymnt_amnt","last_pymnt_d","#loan_amnt","Abcloan_status","#max_bal_bc","#member_id","#mort_acc","#.#mo_sin_old_il_acct","#mo_sin_old_rev_tl_op","#mo_sin_rcnt_rev_tl_op","#mo_sin_rcnt_tl","#mths_since_last_delinq","Abcmths_since_last_major_derog","#mths_since_last_record","#mths_since_rcnt_il","#mths_since_recent_bc","#mths_since_recent_bc_dlq","#mths_since_recent_inq","#mths_since_recent_revol_delinq","#next_pymnt_d","#num_accts_ever_120_pd","#num_actv_bc_tl","#num_actv_rev_tl","#num_bc_sats","#num_bc_tl","#num_il_tl","#num_op_rev_tl","#num_rev_accts","#num_rev_tl_bal_gt_0","#num_sats","#num_tl_120dpd_2m","#num_tl_30dpd","#num_tl_90g_dpd_24m","#num_tl_op_past_12m","#open_acc_6m","#open_act_il","#open_il_12m","#open_il_24m","#open_rv_12m","#open_rv_24m","Abcorig_projected_additional_accrued_interest","#.#out_prncp","#.#out_prncp_inv","Abcpayment_plan_start_date","#.#pct_tl_nvr_dlq","#.#percent_bc_gt_75","Abcpolicy_code","#.#pub_rec_bankruptcies","Abcpurpose","Abcpymnt_plan","#.#rate","#.#recoveries","#revol_bal_joint","#.#revol_util","#.#sec_app_chargeoff_within_12_mths","#sec_app_collections_12_mths_ex_med","#sec_app_earliest_cr_line","#sec_app_inq_last_6mths","#sec_app_mort_acc","#sec_app_mths_since_last_major_derog","#sec_app_num_rev_accts","Abcsec_app_open_acc","#.#sec_app_open_act_il","#.#sec_app_revol_util","Abcsettlement_amount","Abcsettlement_date","Abcsettlement_percentage","Abcsettlement_status","Abcsettlement_term","Abcssn_num","Abcsub_grade","#.#tax_liens","Abcterm","Abctitle","#total_acc","#total_bal_ex_mort","#total_bal_il","#total_bc_limit","#total_cu_tl","#total_il_high_credit_limit","Abctotal_pymnt","#.#total_pymnt_inv","#.#total_rec_int","#.#total_rec_late_fee","#.#total_rec_prncp","#total_rev_hi_lim","#.#tot_coll_amt","Abctot_cur_bal","#.#tot_hi_cred_lim","Abcurl","Abcverification_status","Abcverification_status_joint","Abczip_code"
"105000","2","TX","2","30000","69","0","0","9","6.0","5204.0","748.78000","890.95000","POOR","","","","0","6948","","","67.68000","1.0","Jun-95","7 years","overnight supervisor","24000","24000","D","","","","0","","","","","25","","N","2","RENT","1","14906","3780","25200","2","890.95000","19.92000","18-Dec","1/1/19","0","2019-01-01 00:00:00.0","24000","Current","80","83","225","60.70000","0","0","42","61","19-Mar","","2","7","6","0","7","0","","2","","1","7","11","7","7","3","11","11","11","14","0","0","0","67646","1","6","52740","","59.20000","15.0","","0.0","0.0","2/1/19","3.0","credit_card","n","8.50000","993.28000","67646","14.0","73.40000","2","17700","66148","42959","25","24","Apr-90","0.0","0.0","","N","","DirectPay","","","D3","93.30000","36 months","Credit card refinancing","0","0","1","0","74","91348","w","23006.72000","1742.06000","1742.06000","23006.72000","5","35.52000","","28.60000","","Verified","Joint App","752xx"
"","1","VA","2","70200","7","2","0","4","4.0","21681.0","225.0","302.67000","FAIR","","","","4","3131","","","3.62000","1.0","5-Dec","7 years","DIRECT CARE PROVIDER","8500","8500","C","","","","","","","","","","","N","","MORTGAGE","0","5721","4233","21124","1","302.67000","16.91000","18-Dec","1/1/19","0","2019-01-01 00:00:00.0","8500","Current","0","100","156","46.0","0","0","146","6","19-Mar","","0","9","9","1","12","0","27","1","6","0","4","8","4","6","9","8","23","2","9","","0","3632","195134","0","47","0","","27.0","33.0","","0.0","2.0","12/1/18","2.0","debt_consolidation","n","6.50000","368.36000","5721","9.0","","","12524","0","","","","","","","","N","","Cash","","","C5","88.0","36 months","Debt consolidation","0","0","0","0","27","221124","w","8131.64000","593.36000","593.36000","8131.64000","4","","","0.0","","Not Verified","Individual","226xx"
"","0","NY","1","60000","","0","3","0","5.0","28962.0","70.51000","104.03000","FAIR","","","","0","5402","","","21.36000","1.0","6-Oct","4 years","Banker","3000","3000","C","","","","","","","","","","","N","","MORTGAGE","3","11026","3407","22200","0","104.03000","15.02000","18-Dec","1/1/19","0","2019-01-01 00:00:00.0","3000","Current","97","78","140","53.0","0","0","146","","19-Mar","","4","9","2","2","28","0","","","","0","4","7","4","6","7","8","11","7","13","0","0","0","376508","1","2","49048","","49.70000","20.0","","0.0","0.0","2/1/19","3.0","home_improvement","n","6.50000","133.79000","60074","13.0","","","11500","50524","","","","","","","","N","","Cash","","","C3","95.0","36 months","Home improvement","0","0","2","0","83","400137","w","2866.21000","204.30000","204.30000","2866.21000","1","","","25.0","","Source Verified","Individual","104xx"
"","2","GA","3","60000","","0","0","5","13.0","2678.0","378.93000","528.40000","FAIR","","","","0","3158","","","18.86000","1.0","8-Aug","3 years","asst.mgr","15000","15000","C","","","","","","","","","","","N","","RENT","6","5311","2155","10800","1","528.40000","16.14000","18-Dec","1/1/19","0","2019-01-01 00:00:00.0","15000","Current","78","95","118","55.50000","0","0","124","","19-Mar","","2","1","1","0","1","0","","1","","0","3","7","4","5","14","9","10","7","11","0","0","0","29454","2","7","24143","","49.20000","24.0","","0.0","0.0","2/1/19","7.0","credit_card","n","6.50000","657.69000","29454","11.0","","","7100","31084","","","","","","","","N","","Cash","","","C4","100.0","36 months","Credit card refinancing","0","0","4","0","70","41884","w","14342.31000","1036.62000","1036.62000","14342.31000","7","","","0.0","","Source Verified","Individual","301xx"
"null","1","PA","4","20000","null","0","0","2","9.0","224.0","73.82000","132.48000","GOOD","null","null","null","0","13204","null","null","12.24000","1.0","12-Sep","n/a","null","4000","4000","B","null","null","null","null","null","null","null","null","null","null","N","null","RENT","1","1045","646","26900","0","132.48000","11.80000","18-Dec","1/1/19","0","2019-01-01 00:00:00.0","4000","Current","80","44","56","7.0","0","0","75","null","19-Mar","null","1","4","4","0","8","0","null","10","null","0","3","4","7","10","2","18","26","4","19","0","0","500","4255","1","10","3210","null","3.90000","28.0","null","0.0","0.0","2/1/19","5.0","debt_consolidation","n","5.50000","187.21000","4255","19.0","null","null","14200","4000","null","null","null","null","null","null","null","N","null","Cash","null","null","B4","100.0","36 months","Debt consolidation","0","0","1","0","14","30900","w","3812.79000","261.03000","261.03000","3812.79000","8","null","null","0.0","null","Not Verified","Individual","151xx"
"null","2","NY","3","79365","35","0","0","4","10.0","4037.0","221.45000","397.43000","GOOD","null","null","null","0","3973","null","null","29.70000","1.0","Sep-88","10+ years","Transportation Manager","12000","12000","B","null","null","null","null","null","null","null","null","null","null","N","null","RENT","6","4957","1070","17800","2","397.43000","11.80000","18-Dec","1/1/19","0","2019-01-01 00:00:00.0","12000","Current","89","70","363","40.70000","0","0","107","25","19-Mar","null","8","1","1","0","24","0","null","1","26","1","4","11","5","5","11","12","20","11","20","0","0","0","80734","6","2","75777","null","27.80000","32.0","null","0.0","0.0","2/1/19","7.0","debt_consolidation","n","5.50000","561.61000","80734","20.0","null","null","6700","85247","null","null","null","null","null","null","null","N","null","Cash","null","null","B4","81.30000","36 months","Debt consolidation","0","0","4","0","78","103047","w","11438.39000","783.06000","783.06000","11438.39000","4","null","null","0.0","null","Source Verified","Individual","104xx"
"null","0","CO","0","82923","71","0","1","4","3.0","34150.0","134.09000","260.86000","GOOD","null","null","null","0","8676","null","null","18.55000","1.0","Jul-86","10+ years","Publications and Images Project Manager","8000","8000","B","null","null","null","null","null","null","null","null","null","null","N","null","MORTGAGE","2","16255","13624","32300","0","260.86000","10.72000","18-Dec","1/1/19","0","2019-01-01 00:00:00.0","8000","Current","95","53","141","61.10000","0","0","143","56","19-Mar","null","3","25","3","2","37","0","71","0","71","4","1","4","2","3","12","6","10","4","11","0","0","0","341504","1","15","55968","null","50.30000","25.0","null","0.0","0.0","2/1/19","1.0","car","n","5.50000","380.48000","72223","11.0","null","null","22300","59007","null","null","null","null","null","null","null","N","null","Cash","null","null","B2","80.0","36 months","Car financing","0","0","0","0","79","360944","w","7619.52000","514.57000","514.57000","7619.52000","0","null","null","50.0","null","Source Verified","Individual","802xx"
"null","0","IL","6","95000","null","0","3","5","12.0","1522.0","69.08000","265.63000","GOOD","null","null","null","0","1890","null","null","10.47000","1.0","2-Sep","2 years","Goldsmith","8000","8000","B","null","null","null","null","null","null","null","null","null","null","N","null","RENT","1","14156","3232","39400","2","260.86000","10.72000","18-Dec","1/1/19","0","2019-01-01 00:00:00.0","8000","Current","73","86","195","79.20000","0","0","135","null","19-Mar","34","2","4","4","0","8","0","null","4","null","0","3","12","3","8","6","15","28","12","17","0","0","0","25875","1","7","11719","null","35.90000","34.0","null","0.0","0.0","2/1/19","7.0","credit_card","n","5.50000","189.40000","25875","17.0","null","null","9100","16000","null","null","null","null","null","null","null","N","null","DirectPay","null","null","B2","100.0","36 months","Credit card refinancing","1","1","1","0","47","55400","w","7810.60000","258.48000","258.48000","7810.60000","11","null","null","66.70000","null","Not Verified","Individual","612xx"
